seed,sorting_strategy,config_hash,run_dir,best_val_bpt,best_val_nll,best_val_perplexity,best_epoch,epochs_run,final_train_bpt,final_val_bpt,train_tokens_per_epoch,val_tokens_per_epoch,n_train_meshes,n_val_meshes,bits_per_mesh,max_seq_length,tokens_per_face,vocab_size,peak_gpu_mem_bytes,peak_gpu_mem_mib,wall_time_s
0,1,9add3362,runs/meshtron-sorting-fair/9add3362,1.169098260525765,0.8103571630809703,2.2487109998135173,24,25,1.2906264039125286,1.169098260525765,313760,78640,984,245,375.25668248059657,448,8,260,16644270592,15873.21337890625,688.2650419441052
1,1,f19a4ec2,runs/meshtron-sorting-fair/f19a4ec2,1.043589163505467,0.7233608863467262,2.061349543165254,24,25,1.1868853854426455,1.043589163505467,317520,75600,984,245,322.0217990245441,448,8,260,16637673472,15866.921875,661.759627681924
2,1,ff6a409c,runs/meshtron-sorting-fair/ff6a409c,1.064144716005439,0.7376089096069336,2.0909299300085324,24,25,1.2154145907291916,1.064144716005439,314880,76800,984,245,333.5767926090519,448,8,260,16637673472,15866.921875,668.855909855105
0,2,3771cbb9,runs/meshtron-sorting-fair/3771cbb9,1.9008189860807125,1.3175473209566597,3.734251216426142,22,25,1.938163135080771,1.9034705434716166,188330,47300,984,245,366.97444098619474,272,8,260,8786526720,8379.48486328125,632.7541904968675
1,2,373b975d,runs/meshtron-sorting-fair/373b975d,1.7446864648184006,1.2093245040499725,3.3512201521642733,24,25,1.833060105608597,1.7446864648184006,190495,45525,984,245,324.19122984023545,272,8,260,8786526720,8379.48486328125,615.516091756057
2,2,b2d1b284,runs/meshtron-sorting-fair/b2d1b284,1.7409775907462206,1.2067537084437892,3.34261591472841,23,25,1.83831835883418,1.7430838401863982,189020,46210,984,245,328.3696917076851,272,8,260,8786526720,8379.48486328125,621.6220067262184
mem_matched,0,1,24,4c0515d3,runs/meshtron-sorting-fair/4c0515d3,0.5212278623794713,0.36128762323761765,1.4351761915430088,24,25,0.5270684822668309,0.5212278623794713,321608,78640,984,245,167.30350652049643,448,8,260,8662845952,8261.53369140625,696.4286840679124
mem_matched,1,1,24,d64c4c52,runs/meshtron-sorting-fair/d64c4c52,0.49819191074817876,0.345320318312872,1.4124422783420352,24,25,0.5196610129693174,0.49819191074817876,325128,75600,984,245,153.72778960229516,448,8,260,8659467264,8258.3115234375,695.1656207169872
mem_matched,2,1,24,eb12aa57,runs/meshtron-sorting-fair/eb12aa57,0.4781647171240537,0.3314385255177816,1.3929705115052435,24,25,0.51933121845335,0.4781647171240537,323688,76800,984,245,149.89000112296867,448,8,260,8659467264,8258.3115234375,692.0632518059574
